original_dish,calories_original,healthier_alternative,calories_alternative,calories_saved,protein,fat,fibre,why_better,halal_status,stall_1_name,stall_1_location,stall_1_halal,stall_2_name,stall_2_location,stall_2_halal,recipe_name,prep_time,ingredients,steps
"Chwee Kueh (with preserved radish)","220","Chwee Kueh (less chai poh topping + chilli)","180","40","3g","4g","1g","Ask for less preserved radish (high sodium); use more chilli for flavour; already a lighter hawker choice","Halal","Jian Bo Shui Kueh","Tiong Bahru Market, #02-05","Not Halal","Bedok Chwee Kueh","Blk 16 Bedok South, #01-187","Not Halal","Steamed Rice Cakes (Chwee Kueh)","15 min","1 cup rice flour; 1/2 cup tapioca flour; 2 cups water; pinch salt; preserved radish (chai poh) 3 tbsp; 2 cloves garlic; 1 tbsp canola oil; chilli sauce","Mix rice flour tapioca flour water and salt until smooth; pour into small oiled moulds; steam 15-20 min; fry chai poh with garlic in minimal oil; top each kueh with small amount of chai poh; serve with chilli"
"Otah (6 pieces grilled)","360","Otak-Otak (3 pieces) + Steamed Fish","280","80","28g","12g","1g","Half portion of otah + added steamed fish; still smoky flavour; more protein less coconut milk filler","Halal","328 Katong Laksa (sells otah)","51 East Coast Road","Not Halal","Kim Choo Kueh Chang (otah)","60 Joo Chiat Place","Not Halal","Grilled Fish + Mini Otah","10 min","200g fish fillet (ikan tenggiri/mackerel); 3 pieces store-bought otah; banana leaves; marinade: 1 tsp turmeric + 1 tbsp lemon juice + pinch salt; steamed rice","Marinate fish fillet with turmeric lemon salt; wrap in banana leaf or just grill on pan 5-6 min per side; grill otah in banana leaf wraps 5 min; serve with steamed rice and cucumber slices; 1.5 otah per person instead of 3"
"Nasi Padang (Rendang + Fried Chicken + Sayur)","850","Nasi Padang (Grilled Fish + Sayur Lodeh + Sambal)","500","350","30g","18g","3g","Grilled fish instead of fried chicken; sayur lodeh has less coconut milk than rendang; still flavourful Padang-style","Halal","Hjh Maimunah","11 & 15 Jalan Pisang","Halal","Warong Nasi Pariaman","738 North Bridge Road","Halal","Healthier Nasi Padang Combo","0 min","At the stall: choose grilled/panggang fish over fried; pick sayur lodeh (veg curry) or stir-fried long beans; 1 sambal egg; ask for less rice; skip bergedil (fried potato)","Point to grilled fish (ikan panggang) and say less rice; choose 1 veg curry + 1 stir-fried veg; skip fried items like bergedil tahu goreng; sambal on side; drink plain water"
"Chilli Crab with Mantou (2 buns)","750","Black Pepper Crab (no mantou)","480","270","35g","22g","0g","Skip the deep-fried mantou buns (saves 200 kcal); black pepper sauce is lighter than chilli-tomato; still indulgent but better","Halal","Mellben Signature","Blk 232 Ang Mo Kio Ave 3, #01-1222","Not Halal","No Signboard Seafood","414 Geylang Road","Not Halal","Black Pepper Crab (lighter ver)","10 min","1 whole mud crab (600g cleaned); 2 tbsp crushed black pepper; 3 cloves garlic; 30g butter (reduced from typical 60g); 1 tbsp oyster sauce; 1 tbsp dark soy; spring onion; serve with brown rice instead of mantou","Crack crab into pieces; heat butter in wok and fry garlic black pepper 1 min; add crab pieces stir-fry 5 min; add oyster sauce dark soy and splash of water; cover and cook 8 min; garnish spring onion; serve with brown rice"
"Pig Organ Soup (Kway Chap)","550","Sliced Pork Soup with Kway Teow (lean cuts)","350","200","25g","10g","1g","Choose lean cuts only (no intestines/skin); flat noodle soup base; skip braised fatty bits","Not Halal","Blk 335 Kway Chap","Blk 335 Smith St, Chinatown Complex, #02-127","Not Halal","Toa Payoh Kway Chap","Blk 93 Lorong 4, #01-38","Not Halal","Lean Pork Kway Teow Soup","5 min","200g lean pork loin (sliced thin); 200g kway teow; 800ml pork stock; 1 hard-boiled egg; tau kwa (firm tofu); chye sim; garlic; five-spice pinch; dark soy (dash)","Boil pork stock with garlic and five-spice; add lean pork slices 3 min; add tau kwa; cook kway teow separately; assemble in bowl with broth; add halved egg and chye sim; season with dark soy"
"Laksa (full coconut)","680","Mee Siam (Dry less gravy)","370","310","14g","10g","2g","No coconut milk; tamarind-based sauce is tangy not fatty; lighter noodles; still packs a flavour punch","Halal","Sungei Road Laksa (for laksa lovers)","27 Jalan Berseh, #01-100","Halal","Marine Parade Laksa","50 East Coast Road","Halal","Mee Siam (lighter)","15 min","200g bee hoon (soaked); sauce: 3 tbsp rempah (spice paste) + 2 tbsp tamarind juice + 1 tbsp sugar + 100ml water; toppings: hard-boiled egg + bean sprouts + tau pok slices + chives + lime; dried shrimp 1 tbsp","Fry rempah paste with dried shrimp until fragrant; add tamarind juice sugar and water; toss drained bee hoon in sauce; serve topped with sliced tau pok egg bean sprouts chives; squeeze lime"
"Sup Kambing (Mutton Soup with bread)","550","Sup Ayam (Chicken Soup with wholemeal bread)","320","230","25g","8g","3g","Chicken is leaner than mutton; wholemeal bread instead of white adds fibre; still warm and spiced","Halal","Kambing Soup stall","Tekka Centre, Little India","Halal","Adam Road Sup Kambing","Adam Road Food Centre","Halal","Healthier Chicken Soup (Sup Ayam)","10 min","2 chicken drumsticks (skinless); 1L water; 1 cinnamon stick; 2 star anise; 3 cloves; 1 onion; 2 potatoes (cubed); 1 carrot (cubed); 1 celery stalk; salt and pepper; fried shallots; 2 slices wholemeal bread","Boil water with spices and onion 5 min; add chicken and simmer 20 min; add potato and carrot last 10 min; remove chicken and shred meat off bone; return meat to pot; season with salt pepper; serve in bowl with celery and fried shallots; eat with wholemeal bread"
"Dim Sum (Har Gow + Siew Mai + Char Siew Bao = 6pcs)","480","Steamed Dim Sum (Crystal Dumplings + Chee Cheong Fun)","300","180","18g","8g","2g","Stick to steamed only; skip baked/fried items; chee cheong fun is very low cal; portion control","Not Halal","Swee Choon Tim Sum","183/185/187/189/191/193 Jalan Besar","Not Halal","Red Star Restaurant","54 Chin Swee Road","Not Halal","Lighter Dim Sum Set","0 min","Order at restaurant: 2 crystal shrimp dumplings + 2 steamed siew mai + 1 plate chee cheong fun; skip char siew bao and fried items; have Chinese tea (pu-erh) for digestion","Choose steamed over fried/baked; crystal dumplings are lighter than har gow; pick chee cheong fun (rice rolls) as a filler; drink Chinese tea; limit to 6-8 pieces total; skip sweet sauce go for light soy"
"Mee Pok Dry (with vinegar chilli)","440","Mee Pok Soup (less oil)","330","110","22g","8g","2g","Soup version eliminates chilli oil and vinegar dressing; still flavourful with lean pork and fishballs","Not Halal","Seng Kee Mushroom Minced Meat Noodle","Blk 253 Ang Mo Kio Ave 4, #01-02","Not Halal","Tai Hwa Pork Noodle (Bak Chor Mee)","Blk 466 Crawford Lane, #01-12","Not Halal","Mee Pok Soup","5 min","200g mee pok noodles; 80g lean pork mince; 6 fishballs; 800ml pork/ikan bilis stock; 1 tbsp fried shallots; chye sim; light soy; vinegar (1 tsp on side); white pepper","Boil stock; season pork mince with dash of soy and pepper; cook mee pok 1-2 min; form small pork meatballs or just drop mince into broth; add fishballs; add chye sim last; serve in bowl with broth and fried shallots; put vinegar on side"
"Ngoh Hiang (Five Spice Rolls 5pcs fried)","450","Steamed Ngoh Hiang (homemade less oil)","280","170","18g","12g","2g","Steaming instead of deep-frying; homemade allows control of fat content; beancurd skin still gives crunch when pan-seared lightly","Not Halal","House of Ngoh Hiang","Old Airport Road Food Centre, #01-07","Not Halal","Guan Chee Ngoh Hiang","96 Whampoa Drive, #01-59","Not Halal","Steamed Five-Spice Roll","20 min","200g lean pork mince; 100g prawns (chopped); 50g water chestnuts (diced); 1 tsp five-spice powder; 1 egg; 1 tbsp cornstarch; beancurd skin sheets; salt and pepper; sweet sauce for dipping","Mix pork prawns water chestnuts five-spice egg cornstarch salt pepper; lay beancurd skin flat; spread mixture along edge and roll up tightly; steam rolls 12-15 min; optional: lightly pan-sear after for crispiness; slice and serve with sweet sauce"
"Curry Puff (3 pieces)","440","Steamed Chicken Pau (2 pieces)","240","200","12g","6g","1g","Steamed vs deep-fried pastry; chicken filling is leaner; still savoury and portable","Not Halal","Old Chang Kee (if craving)","Multiple outlets","Not Halal","Tiong Bahru Pau","Tiong Bahru Market, #02-18","Not Halal","Steamed Chicken Pau","20 min","Dough: 2 cups pau flour + 1 tsp instant yeast + 2 tbsp sugar + 100ml warm water + 1 tbsp oil; Filling: 150g chicken breast (diced) + 1 tbsp oyster sauce + 1 tsp sesame oil + 50g bamboo shoots + spring onion","Make dough: mix flour yeast sugar water oil knead 5 min rest 30 min; make filling: dice chicken mix with oyster sauce sesame oil bamboo shoots; divide dough into 4; flatten wrap filling and pleat shut; steam on parchment 12-15 min"
"Iced Lemon Tea (sweetened hawker)","180","Iced Barley Water (less sugar homemade)","60","120","1g","0g","1g","Barley is naturally sweet; homemade allows minimal sugar; cooling and good for digestion","Halal","Any drinks stall","Island-wide","Halal","Various hawker centres","Island-wide","Halal","Homemade Barley Water","5 min","100g pearl barley; 1.5L water; 2 pandan leaves; 1 tbsp rock sugar (or less); optional: soy milk splash","Rinse barley well; boil in water with pandan leaves 40-45 min until soft; add rock sugar last 5 min (use half of what recipes say); cool and refrigerate; serve cold; barley grains are edible and nutritious"
"Sugarcane Juice (large)","200","Coconut Water (fresh young coconut)","60","140","1g","0g","0g","Natural electrolytes; no added sugar; only 60 kcal per coconut; very hydrating","Halal","Any sugarcane juice stall","Island-wide","Halal","Old Airport Road drinks stalls","Old Airport Road Food Centre","Halal","Fresh Coconut Water","0 min","Buy 1 fresh young coconut from fruit stall; ask them to chop open; drink water straight; scoop flesh for bonus fibre","Buy from wet market or supermarket; drink directly; coconut water has natural potassium and electrolytes; no processing needed"
